Object Tracking Data File Wed, Mar 4, 2026 10:51 AM
X (pixels)  	Y (pixels)  
345.38	402.43
351.60	401.54
357.24	400.33
352.48	396.35
356.96	395.07
362.35	398.92
364.31	393.11
375.06	394.29
378.62	397.34
376.93	398.85
378.73	397.21
376.95	395.59
384.35	393.25
386.18	391.84
388.48	392.89
383.83	387.48
380.35	373.90
381.56	372.19
381.15	376.07
375.64	368.89
373.39	371.97
374.67	369.48
373.94	372.40
384.56	370.39
380.03	377.60
378.93	376.89
378.43	377.63
384.44	374.64
385.60	372.40
380.58	379.56
381.03	381.81
389.28	388.09
391.56	384.78
390.49	378.82
393.25	369.30
397.24	368.57
399.03	373.71
405.28	372.06
406.49	374.27
408.05	379.06
411.99	372.05
410.26	374.16
408.21	377.15
412.45	373.79
416.48	376.16
424.48	380.51
426.78	381.68
422.45	378.57
428.58	379.03
427.10	383.06
434.91	380.63
431.66	384.09
432.46	382.79
437.93	382.91
446.42	381.66
454.71	382.12
454.81	381.71
458.87	384.30
460.22	384.53
463.56	382.88
473.16	382.03
476.85	385.42
475.69	378.08
478.15	369.17
478.62	365.87
476.03	365.09
475.45	367.24
477.34	369.70
482.89	367.43
485.65	374.66
481.12	364.66
481.66	370.89
476.13	373.99
481.00	366.52
482.33	358.92
485.73	351.02
490.43	345.98
493.39	338.37
494.38	341.70
499.33	347.22
502.22	341.41
503.93	346.42
502.34	343.88
499.09	348.23
508.77	345.69
510.97	338.30
519.30	336.37
519.85	339.07
522.14	342.93
517.92	346.03
519.62	348.79
521.55	343.29
517.56	340.99
518.11	342.95
517.51	341.15
524.14	342.96
525.32	340.69
522.97	335.33
524.81	341.28
529.41	340.36
535.34	341.12
536.98	339.03
539.19	343.40
541.65	345.79
540.33	343.89
544.64	345.10
547.21	340.88
550.66	341.02
554.41	340.41
554.36	338.41
555.76	338.35
557.71	338.20
563.91	332.01
566.02	335.86
570.68	329.42
575.16	329.21
576.39	332.31
582.10	329.61
581.21	330.32
581.60	329.90
