Object Tracking Data File Wed, Mar 4, 2026 11:06 AM
X (pixels)  	Y (pixels)  
1181.84	414.70
1183.23	414.05
1182.62	417.82
1188.11	420.61
1196.28	423.08
1200.89	427.31
1204.25	424.45
1205.87	426.66
1205.44	429.20
1207.41	428.24
1208.95	427.37
1206.57	425.87
1204.26	429.91
1203.10	429.19
1206.85	438.18
1209.63	434.44
1205.38	429.95
1204.27	430.14
1201.45	424.86
1204.01	421.93
1204.25	422.44
1202.96	416.92
1204.18	422.48
1201.25	422.81
1206.71	420.45
1207.40	421.74
1210.43	421.30
1211.06	418.98
1210.58	421.27
1212.28	418.08
1215.18	420.31
1214.25	420.59
1211.69	418.27
1207.93	415.86
1204.67	414.59
1204.73	410.93
1200.44	410.25
1195.95	407.60
1198.82	408.15
1191.09	410.39
1191.73	408.51
1192.90	405.30
1191.64	409.46
1198.65	413.10
1202.43	413.01
1200.42	409.46
1201.93	401.92
1197.22	400.89
1194.91	402.39
1194.89	393.59
1195.71	392.64
1193.07	390.62
1190.18	393.43
1191.62	388.54
1196.42	386.81
1193.43	384.65
1190.72	388.77
1195.25	394.56
1197.54	395.09
1198.48	392.70
1203.95	396.35
1207.03	401.30
1210.14	403.10
1207.55	404.44
1200.48	406.10
1204.54	407.36
1202.44	408.94
1202.66	404.80
1210.56	402.24
1220.90	402.56
1216.83	404.59
1210.41	404.67
1213.79	403.56
1210.77	401.52
1208.73	401.32
1211.74	404.77
1214.07	402.26
1218.79	401.68
1217.88	403.44
1220.47	403.25
1230.30	398.00
1240.95	398.90
1240.88	399.75
1241.95	400.38
1242.82	403.06
1241.44	404.23
1243.26	405.10
1244.85	403.50
1245.74	400.20
1249.01	399.99
1253.10	407.51
1254.09	403.15
1255.48	401.66
1252.58	403.88
1251.65	405.53
1250.65	400.95
1248.04	404.70
1253.96	399.54
1256.01	395.28
1255.39	398.99
1249.39	402.49
1253.44	399.03
1248.82	396.83
1251.12	392.44
1251.96	389.55
1251.22	393.88
1250.74	390.11
1249.07	388.27
1251.95	389.61
1257.29	387.03
1261.07	389.63
1251.81	390.12
1253.04	383.70
1252.14	379.16
1253.19	383.28
1250.36	385.63
1251.78	385.75
1251.14	381.83
1246.95	383.76
1244.44	376.22
1181.84	414.70
