Object Tracking Data File Wed, Mar 4, 2026 11:04 AM
X (pixels)  	Y (pixels)  
303.95	689.28
303.30	692.43
300.16	686.69
299.57	688.31
302.90	689.35
299.56	693.80
297.89	696.08
297.30	700.16
294.76	695.64
297.16	689.10
298.90	688.98
306.28	689.41
294.18	683.50
297.86	689.26
296.95	684.98
293.51	678.62
294.42	675.31
295.13	670.20
290.78	669.09
289.78	667.33
285.45	668.73
284.41	669.11
284.95	670.83
292.97	674.32
292.57	674.02
292.86	674.70
291.98	670.22
290.32	669.24
287.14	673.27
288.13	673.33
286.11	670.13
288.72	671.18
294.17	671.71
299.68	674.68
300.21	671.91
300.95	671.56
296.42	676.59
297.19	676.31
294.66	674.94
294.96	677.44
294.50	680.56
296.50	676.01
299.29	674.58
306.66	675.59
304.84	680.90
306.81	678.62
306.88	675.70
308.93	674.82
313.03	673.37
317.00	672.39
320.36	672.43
314.82	666.70
317.26	672.02
321.34	677.38
319.88	678.93
325.45	677.04
331.09	668.58
325.47	669.26
326.40	675.40
328.23	676.58
327.79	676.41
323.89	678.58
324.89	684.70
324.46	690.15
322.57	686.00
325.55	685.03
326.58	683.74
326.10	680.42
322.55	688.60
320.90	684.24
323.41	680.47
316.31	682.71
318.29	680.53
318.64	672.75
319.62	678.31
321.10	678.89
323.27	677.72
325.54	680.13
323.59	683.82
320.69	682.72
314.05	684.11
313.53	686.41
315.25	689.62
314.78	687.49
315.80	687.95
315.36	688.43
316.34	686.81
319.18	688.26
312.22	691.28
310.01	686.40
306.82	689.06
312.59	690.28
311.31	690.68
307.81	694.76
300.74	697.84
302.48	697.92
301.05	697.07
311.93	701.85
310.13	699.45
310.61	698.78
312.43	702.10
308.58	703.75
308.53	696.24
311.51	692.80
307.96	693.60
309.15	693.28
302.89	694.62
304.21	692.69
303.31	689.68
298.59	696.42
298.94	694.53
299.79	697.08
294.11	700.77
295.56	701.04
294.70	705.84
294.47	708.04
290.32	709.91
290.81	710.31
290.64	717.29
293.65	711.81
303.95	689.28
