Time_Lag_s,MSD_mean_px2,MSD_fit_px2,Residuals_px2,MSD_data1_particle2_data1.txt,MSD_data1_tracking_particle_1_data1.txt,MSD_data10_particle1_data10.txt,MSD_data10_particle2data10.txt,MSD_data2_data2_particl2_data2.txt,MSD_data2_data2_particle_1_data2.txt,MSD_data3_data3_particl2_data3.txt,MSD_data3_data3_particle1_data3.txt,MSD_data4_data4_particl1_data4.txt,MSD_data4_data4_particl2_data4.txt,MSD_data5_part2_3_data5.txt,MSD_data5_particle1_data5.txt,MSD_data6_particle1_data6.txt,MSD_data6_particle_2_3_data6.txt,MSD_data7_particl2_data7.txt,MSD_data7_particle1_data7.txt,MSD_data8_particle2_data8.txt,MSD_data8_particle_1_data8.txt,MSD_data9-g_data9_particl2_data9.txt,MSD_data9-g_data9_particle1_data9.txt
0.5,2887.8826211974797,2434.862027965787,453.0205932316926,12.705250000000005,15.005260504201638,14.96188319327733,2146.7842008333337,28.08392916666675,527.6232436974792,45.85295166666684,20.53075462184876,17.37406890756303,33.28475666666664,434.50537499999996,15.705858823529399,13.907710924369729,113.61100000000019,54158.14173166666,10.770868067226877,75.68899166666667,28.96953697478988,31.838463333333333,12.306588235294152
1.0,3630.992746687794,3192.5813551822175,438.4113915055764,22.37563109243695,32.58769491525417,30.113090677966113,2180.5727285714283,40.5946697478992,741.547898305085,66.28762100840358,51.134242372881374,42.14661610169497,36.052682352941105,532.5425647058825,39.477803389830484,32.03005847457628,206.66563025210095,68310.19335042017,18.423817796610088,104.24055546218487,65.15031949152541,43.11628319327743,24.601675423728903
1.5,4389.033207969,3950.300682398648,438.73252557035175,32.45149745762709,48.99727179487173,47.3234837606838,2251.419055084745,49.067816949152636,1020.6502752136753,88.0468237288139,84.59348461538467,73.43915982905988,46.15166101694911,571.2246525423728,71.35706923076924,53.235264957264945,307.4200220338985,82712.34423305087,29.47740854700848,105.91049067796608,89.63126324786325,60.16690000000007,37.75632564102574
2.0,5155.208332089965,4708.020009615078,447.18832247488626,41.48555811965811,67.64374827586202,64.07917413793106,2243.318669230769,62.4116401709404,1120.144249137931,107.57349658119679,122.90070517241381,110.74208965517246,62.286932478632444,666.8104999999999,108.0864327586207,81.58331637931032,412.7650487179488,97455.47004102565,39.02251034482755,109.88046153846153,104.16223189655175,74.30270341880353,49.497132758620765
2.5,4517.385180152174,5465.739336831509,-948.3541566793347,48.46476465517238,87.41254869565212,80.68015652173918,2258.8424620689657,75.76272327586226,1195.456582608696,124.21396810344847,166.56487217391307,155.41678260869566,74.89015862068958,587.3025224137931,151.8575113043478,113.42838695652166,520.9598956896554,84277.0781198276,48.02746695652173,120.06202758620688,122.48727217391307,81.23450775862078,57.56087304347832
3.0,5305.447155837529,6223.458664047938,-918.0115082104094,53.71629739130432,107.09079035087719,94.06796929824566,2231.312070434783,90.46368695652198,1496.7982807017547,143.8956869565221,215.0431096491228,212.46814473684208,95.28912782608687,702.928948695652,203.47190701754386,149.09528157894727,623.9360921739132,99210.50588869565,61.389769298245604,130.36815043478254,140.98957017543862,85.19404086956524,60.91830350877198
3.5,6092.500757172024,6981.177991264369,-888.6772340923444,62.804839473684154,131.50143628318585,109.54791327433631,2317.9155596491228,105.51727280701778,1474.5143991150444,157.68103333333383,269.2185212389381,276.32561415929206,111.8198105263158,738.450247368421,261.2731256637168,188.08642035398216,731.3691535087721,114398.14149912282,76.52075398230086,129.26524210526316,160.7408495575221,87.24433333333336,62.07711858407084
4.0,6904.5393833928565,7738.897318480799,-834.3579350879427,72.07963451327427,162.72331339285716,130.46654196428574,2393.1474433628314,123.11185132743402,1614.9248499999999,174.61636548672593,332.72871517857146,342.74982410714284,135.76523362831853,744.6626982300885,329.2932616071429,230.4350678571427,827.4737053097348,129918.00427787613,90.54560982142857,129.43966460176992,178.49398571428569,93.62982566371689,66.49579821428577
4.5,7723.118585250161,8496.61664569723,-773.4980604470684,81.3893017857142,196.2734639639639,151.55295855855857,2422.9723151785715,145.26304642857184,1653.8499558558556,191.7331723214286,401.9840288288289,411.39323243243246,159.9549178571429,753.1146857142857,406.04933243243244,272.2283756756755,945.8109955357143,145651.3860357143,106.11726306306308,141.69002053571427,201.626209009009,94.75815357142866,73.2242405405406
5.0,8500.569281415643,9254.335972913661,-753.7666914980182,90.07238288288279,232.25581181818185,177.06140363636368,2448.667899099099,170.20067027027056,1825.5095245454547,220.18997927927927,475.27574909090913,490.2401863636364,180.68006666666665,696.2535288288291,486.75410727272714,317.62405181818167,1064.128946846847,160449.43354954952,124.50573000000009,151.67786576576577,223.2092654545454,104.75089639639653,82.89401272727284
5.5,9358.258300528358,10012.05530013009,-653.7969996017328,106.4684081818181,269.26301009174307,204.59664495412846,2509.8658836363634,192.24131181818214,1928.1402990825686,227.90554999999998,558.225447706422,576.6473467889907,206.39255909090912,722.6283954545459,572.1205513761469,364.3824899082568,1185.020661818182,176768.83929363638,144.57837155963313,163.45611363636365,245.76773669724767,120.83067090909108,97.79526422018361
6.0,10221.026897303773,10769.77462734652,-548.7477300427472,120.23077798165127,306.1283722222222,235.4407703703704,2589.1103743119265,213.65899541284435,1892.6638481481475,241.43462293577994,644.6668546296295,672.4834740740741,231.34822844036702,759.8251798165137,664.051775,417.1032064814813,1315.1831486238532,193263.04760733945,166.21073981481493,170.29690733944955,275.2978592592592,132.25078165137623,110.10442222222228
6.5,11090.180794743857,11527.493954562951,-437.3131598190939,134.99435833333325,344.36043084112146,268.1718841121496,2665.4353675925927,243.79983148148173,1879.9031046728971,262.5006759259258,734.522276635514,764.8526794392523,253.5346601851852,710.4195574074075,765.8172841121495,473.4357074766353,1438.6365490740743,209914.8814851852,186.93854205607494,189.7545953703704,303.6578728971962,144.65336759259264,123.34566448598136
7.0,12000.186502229764,12285.21328177938,-285.02677954961655,150.38114018691584,384.52186226415097,306.00295471698115,2712.013544859813,270.7830626168229,1955.3182254716983,287.04348130841123,830.7846566037736,861.8378018867924,277.45411962616834,885.4658345794394,874.7540018867924,534.2132594339622,1574.952021495327,227082.53761588785,205.28708207547183,199.28933457943924,323.60535660377366,155.60171775700934,131.882970754717
7.5,12870.089834880057,13042.932608995812,-172.84277411575567,165.88822452830186,425.5740933333333,346.7950657142857,2868.3378377358495,295.34037547169874,2094.333431428572,308.03998301886804,935.2499638095237,962.6491276190475,298.3915556603774,850.5342216981134,1002.1614257142855,595.6137933333332,1702.889641509434,243466.18814433963,225.41758000000024,207.7702094339623,354.8988304761904,157.85395849056604,137.8692342857143
8.0,13753.88330935989,13800.651936212242,-46.7686268523521,178.34059428571422,469.37518846153847,386.76312403846157,2897.8615666666665,321.18897809523867,2337.4936971153847,331.1972504761905,1043.7146278846153,1072.4100038461538,326.8469123809524,890.2199180952381,1139.0813346153845,661.0710423076921,1729.425061904762,260130.66599047618,243.66131346153864,215.35598857142858,391.04630673076923,166.92737047619053,145.0199173076923
