Object Tracking Data File Wed, Mar 4, 2026 10:54 AM
X (pixels)  	Y (pixels)  
540.97	346.63
544.62	348.33
543.18	350.55
545.42	345.77
543.55	349.81
540.73	352.87
544.81	356.46
550.25	360.80
551.80	363.24
551.13	368.00
547.43	371.59
547.75	367.24
552.31	370.52
554.54	368.15
556.29	378.94
561.74	380.76
564.39	383.76
568.12	377.21
569.45	376.30
564.59	375.34
564.58	368.65
565.72	362.68
566.30	361.19
571.10	362.30
574.19	363.88
571.13	359.62
569.74	355.48
564.48	355.47
567.75	347.47
567.71	339.06
563.70	337.79
566.67	340.70
567.28	339.98
569.13	342.36
567.45	344.42
567.89	348.04
572.41	345.12
574.90	345.96
572.55	344.34
567.55	337.48
563.71	337.64
561.59	339.20
562.05	335.68
566.39	340.46
561.47	343.42
559.45	341.01
556.08	337.74
560.18	338.28
561.68	338.00
561.94	335.60
562.17	338.08
563.57	339.61
565.32	338.25
564.99	335.71
568.63	332.89
568.06	335.39
565.48	334.63
568.44	329.49
570.03	333.24
567.11	332.31
572.06	332.29
568.03	329.53
571.22	326.77
571.11	326.23
574.52	328.89
575.27	330.10
578.43	328.66
571.84	333.55
578.69	330.35
573.68	331.92
574.57	334.43
573.19	329.95
575.51	328.75
578.14	325.26
581.62	320.76
588.01	323.06
588.52	317.63
593.75	318.03
592.83	319.15
589.67	319.26
594.19	315.74
591.27	313.41
594.73	312.79
596.41	313.07
598.36	316.80
596.58	318.09
601.55	321.04
600.43	324.62
597.80	328.91
599.47	327.51
594.46	326.85
601.82	327.15
597.36	333.08
597.73	326.62
594.78	319.30
594.05	316.51
599.41	320.22
599.01	322.08
599.11	327.20
603.52	326.79
600.55	325.59
608.28	328.75
607.86	331.33
606.45	337.61
607.65	340.12
610.33	332.82
611.95	335.00
611.46	333.21
620.53	327.87
621.97	326.38
624.18	320.89
622.61	319.88
620.46	318.48
625.60	305.27
628.81	302.04
628.44	301.06
627.00	304.13
628.39	298.69
628.36	302.51
631.44	298.41
