Object Tracking Data File Wed, Mar 4, 2026 10:52 AM
X (pixels)  	Y (pixels)  
418.99	84.41
426.23	76.25
428.26	78.13
430.71	78.84
433.19	78.36
436.46	70.85
439.14	74.89
437.56	72.18
439.55	71.97
433.83	70.39
435.75	70.39
431.53	65.14
432.75	56.31
435.14	59.29
437.66	63.72
438.85	66.36
441.37	59.49
444.28	53.73
446.02	49.60
448.71	44.67
448.71	43.28
453.32	42.88
451.91	36.58
451.57	36.61
452.60	37.64
448.34	37.97
441.44	43.67
446.74	38.52
447.11	30.93
451.46	30.97
455.48	29.12
458.02	30.25
458.54	30.91
462.26	27.14
470.56	26.61
473.68	29.36
472.76	35.46
469.16	34.73
469.39	41.25
470.87	39.95
472.96	47.44
472.30	47.32
471.55	45.19
476.97	43.93
479.28	40.10
475.92	46.69
475.33	44.66
476.29	38.32
484.19	34.84
480.57	36.58
480.32	29.01
481.62	25.37
486.41	17.05
491.17	18.18
492.74	23.17
497.90	24.52
497.76	22.52
500.22	24.20
502.72	25.04
500.74	19.29
504.47	18.58
504.74	21.48
501.81	20.19
506.62	15.73
508.25	21.35
520.87	23.54
523.54	20.62
517.84	19.04
526.61	18.21
527.92	14.37
522.09	10.23
527.81	12.47
529.32	18.44
528.55	18.38
529.43	16.52
532.90	19.22
535.51	17.46
534.12	11.05
531.14	7.59
531.55	9.35
533.46	11.43
539.75	15.08
543.44	16.42
549.79	14.09
550.48	15.59
555.28	15.18
556.74	22.13
565.10	18.10
568.54	15.25
570.09	14.97
573.92	11.95
568.99	14.85
570.38	18.06
572.88	9.58
571.89	13.22
565.16	13.40
564.09	12.14
566.90	12.76
566.96	11.95
567.49	13.04
568.94	13.41
569.86	8.20
563.42	10.48
564.75	13.86
569.08	14.61
567.54	14.53
574.08	20.01
576.63	16.68
577.10	13.02
579.58	11.05
580.85	10.78
581.86	7.55
590.05	6.60
593.94	7.68
594.06	3.32
597.79	4.79
597.30	5.46
600.13	4.26
603.16	6.43
604.97	9.06
