Object Tracking Data File Wed, Mar 4, 2026 11:05 AM
X (pixels)  	Y (pixels)  
1219.15	616.77
1217.60	615.30
1217.43	616.40
1216.30	608.42
1218.57	605.57
1214.00	608.88
1219.07	610.43
1216.73	613.90
1219.43	607.24
1220.72	607.99
1220.53	605.82
1223.66	605.12
1223.24	601.23
1216.00	603.70
1210.29	602.04
1216.83	599.34
1216.52	593.18
1219.81	596.52
1226.39	600.49
1228.55	602.00
1230.80	599.93
1233.24	597.50
1235.21	598.55
1239.63	606.46
1242.40	606.75
1241.56	599.77
1245.36	599.26
1245.55	601.45
1250.57	608.71
1255.80	606.98
1251.46	601.00
1253.23	604.55
1262.72	612.41
1262.91	604.84
1265.42	611.74
1266.75	614.78
1269.90	612.05
1270.05	618.63
1266.99	622.22
1261.04	622.28
1257.10	618.98
1260.01	618.18
1260.01	616.89
1259.27	617.49
1260.76	613.58
1258.90	612.28
1261.39	603.85
1259.77	596.13
1257.75	595.83
1260.37	601.14
1258.35	599.56
1259.70	603.44
1262.19	605.80
1263.32	608.39
1262.64	604.33
1264.92	604.14
1262.66	607.02
1260.01	605.94
1263.14	605.73
1265.44	600.69
1263.68	600.70
1263.60	599.94
1268.21	600.47
1264.46	604.08
1266.71	598.87
1268.97	598.79
1268.99	603.54
1264.99	598.10
1257.76	605.98
1257.90	608.75
1260.23	609.14
1258.11	608.94
1254.15	604.23
1252.08	603.01
1246.14	598.78
1247.41	594.01
1243.06	591.48
1243.75	587.28
1238.93	584.46
1246.12	579.10
1248.53	578.95
1241.31	577.70
1234.45	569.98
1237.85	567.82
1242.27	570.90
1241.58	572.02
1245.41	569.98
1249.69	572.94
1249.52	572.99
1247.84	568.06
1244.61	568.83
1246.65	562.22
1245.24	567.82
1244.54	560.17
1244.78	562.16
1245.84	558.45
1248.25	554.45
1249.55	550.18
1253.04	551.23
1255.28	548.72
1253.65	549.25
1249.91	542.68
1249.38	546.28
1251.70	544.25
1255.08	541.69
1257.40	541.08
1261.72	547.29
1261.95	551.06
1256.75	548.00
1261.64	549.69
1263.50	548.54
1261.66	552.86
1258.65	546.81
1258.08	545.29
1258.84	548.58
1259.31	545.00
1261.73	542.34
1260.83	541.82
1264.26	543.65
1264.64	538.85
1218.98	610.49
