Object Tracking Data File Wed, Mar 4, 2026 10:58 AM
X (pixels)  	Y (pixels)  
402.35	206.72
406.50	206.90
409.20	206.00
413.91	203.87
418.32	201.73
420.69	202.96
413.79	201.25
414.01	200.05
414.08	204.69
413.30	197.21
415.40	197.57
412.07	197.55
415.37	197.27
417.37	199.28
412.96	197.90
412.74	199.66
420.01	195.86
415.61	194.39
413.75	194.15
416.79	202.05
412.78	197.83
420.68	199.83
418.64	196.47
420.17	190.84
412.64	193.86
417.30	201.13
415.53	201.23
411.46	203.78
420.05	202.47
422.17	202.76
429.24	204.35
428.74	202.66
428.60	202.41
424.70	202.05
425.15	201.50
431.84	201.39
436.86	211.19
436.64	208.79
446.67	208.88
447.51	215.81
446.51	211.61
443.44	212.39
445.59	213.25
441.04	211.05
437.09	209.92
435.61	210.33
436.12	205.56
432.13	202.56
432.51	194.25
438.84	194.37
442.44	192.56
438.86	197.81
443.31	197.87
440.51	197.27
440.70	193.32
442.52	191.16
438.30	194.55
436.28	205.39
430.29	210.32
433.65	210.33
438.93	209.31
444.41	209.34
443.81	210.29
442.32	205.28
439.50	206.45
438.95	203.69
439.97	204.49
439.75	201.99
446.19	200.17
447.84	195.83
452.62	194.01
453.44	194.83
461.45	194.73
464.19	198.04
464.16	201.46
467.39	199.38
467.50	203.25
469.23	206.11
465.35	207.52
471.90	208.57
474.32	214.17
477.40	210.91
480.84	208.82
480.14	208.92
478.55	212.93
478.03	209.42
485.97	211.65
483.77	208.97
484.86	206.09
489.36	207.27
493.90	206.81
495.36	209.19
497.70	208.92
498.33	210.16
501.97	215.66
504.64	213.45
504.25	209.40
503.27	209.69
503.83	213.36
504.44	214.37
500.70	215.86
502.20	213.97
504.89	217.46
508.80	221.53
513.86	218.03
517.33	216.08
507.69	214.62
509.09	215.92
506.74	219.38
503.77	219.88
502.32	218.55
504.53	213.83
505.78	212.22
501.86	215.17
495.86	210.28
502.74	209.45
505.01	215.41
510.03	215.76
505.90	219.49
505.80	217.10
