Object Tracking Data File Wed, Mar 4, 2026 10:52 AM
X (pixels)  	Y (pixels)  
299.52	369.62
295.81	370.57
301.36	369.38
311.80	363.53
321.65	368.93
323.88	370.10
329.99	368.31
332.50	363.94
334.61	363.88
335.89	367.32
341.64	364.51
343.60	361.96
341.98	359.46
345.03	351.55
343.23	353.39
340.12	358.62
345.34	354.67
351.83	357.03
355.62	349.83
356.42	349.05
359.31	344.82
364.53	343.72
370.50	336.07
377.19	331.88
382.59	324.42
386.31	326.63
386.69	327.84
393.64	328.01
399.26	330.79
400.15	324.27
407.51	333.26
412.85	331.73
415.82	335.33
416.09	337.04
420.18	331.60
422.83	323.79
429.66	324.84
433.95	324.87
443.09	328.41
440.71	330.64
442.81	334.30
446.84	331.29
450.45	337.52
451.73	339.48
454.95	339.46
453.27	338.56
458.88	341.60
457.23	342.96
459.64	340.61
458.64	343.23
460.55	342.53
459.75	338.88
459.70	339.22
453.88	348.96
456.75	346.16
466.22	346.26
470.01	343.54
468.69	345.05
464.37	345.28
463.28	341.35
467.93	344.68
459.31	343.06
466.72	342.54
470.96	344.79
471.92	345.76
470.01	342.66
467.16	343.54
470.50	340.44
470.63	337.41
471.41	337.68
470.61	336.46
471.61	336.48
469.29	335.89
466.61	335.98
471.84	341.23
472.37	347.55
472.27	351.07
476.39	349.43
476.89	348.44
478.74	348.21
473.01	346.66
481.08	344.57
479.97	340.29
476.65	339.34
477.38	348.73
479.82	344.13
482.99	339.87
482.79	341.76
480.57	334.03
473.04	335.36
474.08	329.36
474.39	331.00
477.79	331.05
478.34	332.39
476.48	327.40
478.88	324.34
478.16	327.80
475.89	330.48
476.03	329.66
474.92	324.21
475.53	324.25
480.70	323.33
476.08	315.28
477.46	318.05
471.17	322.09
472.00	315.80
470.75	312.90
468.07	312.70
466.46	308.93
466.35	312.42
464.68	313.39
467.03	310.90
471.65	312.97
473.35	308.63
474.30	305.81
475.19	306.67
473.17	309.83
473.99	307.16
474.91	304.11
480.52	303.45
